Country,State,LG,City,PostCode,allstates_id
Nigeria,Bauchi ,Alkaleri,ALKALERI,743101,1
Nigeria,Bauchi ,Alkaleri,ALKALERI EAST,743101,2
Nigeria,Bauchi ,Alkaleri,ALKALERI WEST,743101,3
Nigeria,Bauchi ,Alkaleri,BAKWARI,743101,4
Nigeria,Bauchi ,Alkaleri,BIRIM GIGYARA,743101,5
Nigeria,Bauchi ,Alkaleri,BOGWAS,743101,6
Nigeria,Bauchi ,Alkaleri,BONGA,743101,7
Nigeria,Bauchi ,Alkaleri,BORI,743101,8
Nigeria,Bauchi ,Alkaleri,DAN,743101,9
Nigeria,Bauchi ,Alkaleri,DAGUDI,743101,10
Nigeria,Bauchi ,Alkaleri,DOGON RUWA,743101,11
Nigeria,Bauchi ,Alkaleri,FUTUK ,743101,12
Nigeria,Bauchi ,Alkaleri,FUTUK EAST,743101,13
Nigeria,Bauchi ,Alkaleri,FUTUK WEST,743101,14
Nigeria,Bauchi ,Alkaleri,GAR,743101,15
Nigeria,Bauchi ,Alkaleri,GWANA,743102,16
Nigeria,Bauchi ,Alkaleri,GWARAM B,743101,17
Nigeria,Bauchi ,Alkaleri,GWARAM A,743101,18
Nigeria,Bauchi ,Alkaleri,JADA,743101,19
Nigeria,Bauchi ,Alkaleri,JAGUDI,743101,20
Nigeria,Bauchi ,Alkaleri,KUNGIBAR,743101,21
Nigeria,Bauchi ,Alkaleri,KUNGINBAR,743101,22
Nigeria,Bauchi ,Alkaleri,KWONJIMBAR,743101,23
Nigeria,Bauchi ,Alkaleri,LIM KUNDAK,743101,24
Nigeria,Bauchi ,Alkaleri,MAIMADI,743101,25
Nigeria,Bauchi ,Alkaleri,MAINAMAJI,743101,26
Nigeria,Bauchi ,Alkaleri,MANSUR,743101,27
Nigeria,Bauchi ,Alkaleri,PALI EAST,743101,28
Nigeria,Bauchi ,Alkaleri,PALI WEST,743101,29
Nigeria,Bauchi ,Alkaleri,TAGWUR,743101,30
Nigeria,Bauchi ,Alkaleri,TAKSAWAT,743101,31
Nigeria,Bauchi ,Alkaleri,TUNDUN WADA,743101,32
Nigeria,Bauchi ,Alkaleri,WIKKI ,743101,33
Nigeria,Bauchi ,Alkaleri,YALO 1,743101,34
Nigeria,Bauchi ,Alkaleri,YALO 2,743101,35
Nigeria,Bauchi ,Alkaleri,YANKARI,743101,36
